Close,High,Low,Open,Volume
TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
267.55126953125,270.13192095291885,266.62578150330285,268.6725050446264,1963682
267.62249755859375,270.36333225300393,265.73595633861305,268.7437550280842,2014488
261.5713195800781,267.7470998407001,260.912817067618,267.6225036048387,3349176
254.29212951660156,263.19092993745704,253.08188396913042,261.80270838156883,6474892
249.0951690673828,255.75147484549984,247.92053198314633,254.86159497477786,6048178
254.22091674804688,256.3210204631539,249.30878360904128,250.59020208857825,4318408
266.98187255859375,268.3878877213506,258.77718086660724,260.55694139526344,9027690
280.68597412109375,283.48021064380924,265.05969274941265,265.1842672719897,10910272
277.58929443359375,284.21001791083575,273.8517966034979,284.21001791083575,10327614
281.7004699707031,284.6192594925562,274.8839793073551,283.3378407622592,7945008
285.5447082519531,295.08421782444134,282.269945397807,284.7616094807637,7261084
277.89166259765625,285.54462872091693,277.1619655217173,285.54462872091693,5154850
277.42913818359375,281.98532174906575,274.40354464921666,281.98532174906575,4347054
274.3145446777344,281.89632144795115,273.3356762238765,274.88405945155876,5089504
269.7582702636719,272.30333627992303,265.0775135316,270.8795279856489,7574990
269.1709899902344,272.4813402688921,263.8139150785968,269.6337233882244,3008286
265.28076171875,271.1338641541295,264.1565525188769,267.6719689984429,4844398
264.72760009765625,270.5093194817076,259.7132158039805,267.4935440150905,6537196
262.7469177246094,264.031734993565,254.16357072767943,261.9617419343767,5473326
266.2979431152344,272.2402480883241,256.96510456263036,262.08655314167424,3378012
263.5319519042969,272.1866778284331,262.31849708206664,269.45641537001404,4739188
268.7248840332031,270.1346277812016,262.497043631199,265.53066004298034,2977676
263.63909912109375,269.0639230803063,261.4263394002459,268.72486749850464,2716612
258.2142333984375,262.3185370391867,255.7516425007075,262.3185370391867,4607118
258.44622802734375,262.22931663468603,252.73589244904502,260.1771647862349,4170344
262.3720703125,264.7989584524588,257.3398242716908,258.74956765209055,3005894
261.3549499511719,265.42357327473496,259.85598231705893,264.067372761282,2337374
265.0665283203125,266.94023136435356,262.3184261657472,263.3712731852277,2413156
266.2979431152344,267.6719839194066,263.58552060826327,267.6719839194066,1956482
270.58056640625,273.0074535517052,264.88807389396584,266.6903933734411,1660490
270.7591247558594,274.0782527780448,268.58204636219335,272.989724472812,2528290
270.81268310546875,273.72139424734286,269.634930650532,271.24096266631943,1814806
267.8681945800781,271.0624170174362,266.17293917410996,269.4207047059873,2215880
270.2594299316406,272.5614129255322,269.0281346760058,270.1702059534526,2143460
271.99041748046875,273.0254245351245,268.11810481308794,270.88404865641763,1853052
273.1503601074219,275.05976688374125,268.4214878439159,269.81339103475784,4076058
273.47149658203125,274.7384727315792,271.6870169958516,274.7384727315792,2672984
271.8833312988281,277.86133848211654,266.29792273182505,273.7748754837659,3015934
272.3829345703125,274.452926276618,269.45638405571725,271.95465516616764,4053352
274.36376953125,276.2374733231707,272.72205682684734,274.45299352134145,2754742
272.63287353515625,274.8099305050969,270.1702823277381,274.0961384778109,2053606
272.16888427734375,273.72139496660645,271.29450649301344,273.02544340129583,1287312
272.2045593261719,274.8098955376155,271.34800028913776,273.95333650058143,3015740
274.3459167480469,277.8434926456489,272.3116055088376,272.3116055088376,3457732
278.396728515625,279.96707967443945,271.24096786478043,272.56148745971024,4587874
282.5187072753906,283.6964808448977,275.5057178577139,278.3965651316889,3214030
284.42828369140625,285.5168121812063,282.66164405939423,285.5168121812063,2510976
291.94097900390625,292.6547711286102,282.35832844303883,284.4283212480388,6054434
295.86676025390625,296.9196077260459,291.15572907537023,293.1900404687382,3088856
300.04241943359375,301.8982826678358,296.2236285403494,297.6512122923511,4174794
294.7425537109375,301.57712084333093,292.8331688188793,301.57712084333093,3724554
292.975830078125,297.81176478774694,287.39040096728337,287.39040096728337,4716624
295.3670654296875,297.5798245708686,287.7116650935997,290.8345045072669,3310110
295.7418212890625,297.2943098722346,293.40413551957045,296.2236220815783,1694964
296.1522216796875,298.6504930489985,291.9408542994884,294.117910636609,5517582
294.4570007324219,298.3650157620214,293.47553686478363,296.22364005081073,1997806
289.7816162109375,295.9737510602825,288.56816149691446,294.08220723929037,3443266
285.5166931152344,291.2627078509005,284.4995486092893,288.58598885294515,3097160
278.61083984375,288.1042636649865,277.41522530801643,285.5167679553908,7083046
288.30047607421875,289.01426780591186,279.12824796532294,280.64505539517086,5781432
286.7123718261719,291.58401058160536,285.2491070469377,291.58401058160536,3001836
284.1070861816406,288.6932133316052,282.71520470587035,288.6932133316052,3702366
284.82073974609375,288.72875381130353,278.78921271785117,281.94773239917157,3024558
285.3204345703125,288.1934422384652,281.9477639236997,284.08913934590504,4494438
282.5187072753906,288.3361262565357,281.323115055668,286.23043231797743,3018012
284.8385925292969,285.5167034131815,281.9834254951651,282.3046404997832,2869882
292.9580078125,294.01085513527363,280.96631358947405,285.516736578697,8404916
293.26141357421875,297.9724445849565,292.31563057053256,293.36847800517177,4290952
290.9059143066406,295.5098813157835,289.74600233287697,292.29781738843803,3810958
289.7816162109375,294.43910312186233,285.7843779694924,289.085664883283,6947704
281.7694091796875,297.1694812319225,280.87716912528697,294.43921795217506,12016986
280.1632995605469,285.1598424826458,278.4680439262633,283.73225879061755,7107490
280.5023193359375,283.2504219498966,278.735680385307,281.6265282803783,4751116
278.45025634765625,282.66162468198473,277.48663281596356,281.2518811618419,4306068
280.198974609375,282.3046692245822,278.4501976929468,280.5201896466771,2512548
280.984130859375,281.9120732466581,278.7535315387855,280.5023301194063,2621234
274.9170837402344,279.788724613096,273.02553861367073,278.37898054727214,2400382
